Parameter,ParameterType,Unit,Cat3_D1,Cat3_D2,QChoc1,RHuat6,RSalc1,RUrub0,RUrub1,RVilc1,RVilc10,RVilc11,RVilc13,RVilc14,RVilc18,RVilc20,RVilc21,RVilc24,RVilc26,RVilc27,RVilc3,RVilc31,RVilc4,RVilc6,RVilc8,RYana3,Cat3_D1_min,Cat3_D1_max,Cat3_D2_min,Cat3_D2_max
Antimonio,INORGANICOS,mg/L,<=5,<=5,,,,,,,,,,,,,,,,,,,,,,,,,,
Arsénico,INORGANICOS,mg/L,"<=0,1","<=0,2",,,,,,,,,,,,,,,,,,,,,,,,,,
Bario,INORGANICOS,mg/L,"<=0,7","<=0,2",,,,,,,,,,,,,,,,,,,,,,,,,,
Berilio,INORGANICOS,mg/L,"<=0,1","<=0,1",,,,,,,,,,,,,,,,,,,,,,,,,,
Bismuto,INORGANICOS,mg/L,"<=0,1","<=0,1",,,,,,,,,,,,,,,,,,,,,,,,,,
Boro,INORGANICOS,mg/L,<=1,<=5,,,,,,,,,,,,,,,,,,,,,,,,,,
Cadmio,INORGANICOS,mg/L,"<=0,01","<=0,05",,,,,,,,,,,,,,,,,,,,,,,,,,
Calcio,INORGANICOS,mg/L,"<=0,01","<=0,05",,,,,,,,,,,,,,,,,,,,,,,,,,
Cerio,INORGANICOS,mg/L,"<=0,01","<=0,05",,,,,,,,,,,,,,,,,,,,,,,,,,
Cesio,INORGANICOS,mg/L,"<=0,01","<=0,05",,,,,,,,,,,,,,,,,,,,,,,,,,
Cobalto,INORGANICOS,mg/L,"<=0,05",<=1,,,,,,,,,,,,,,,,,,,,,,,,,,
Cobre,INORGANICOS,mg/L,"<=0,2","<=0,5",,,,,,,,,,,,,,,,,,,,,,,,,,
Cromo Total,INORGANICOS,mg/L,"<=0,1",<=1,,,,,,,,,,,,,,,,,,,,,,,,,,
Cromo VI,INORGANICOS,mg/L,"<=0,1",<=1,,,,,,,,,,,,,,,,,,,,,,,,,,
Estaño,INORGANICOS,mg/L,"<=0,1",<=1,,,,,,,,,,,,,,,,,,,,,,,,,,
Estroncio,INORGANICOS,mg/L,"<=0,1",<=1,,,,,,,,,,,,,,,,,,,,,,,,,,
Galio,INORGANICOS,mg/L,"<=0,1",<=1,,,,,,,,,,,,,,,,,,,,,,,,,,
Germanio,INORGANICOS,mg/L,"<=0,1",<=1,,,,,,,,,,,,,,,,,,,,,,,,,,
Hafnio,INORGANICOS,mg/L,"<=0,1",<=1,,,,,,,,,,,,,,,,,,,,,,,,,,
Hierro,INORGANICOS,mg/L,<=5,<=1,,,,,,,,,,,,,,,,,,,,,,,,,,
